"plate","well","Condition","Serum","cell_counts","Nuclear_Area_min","Nuclear_Area_25th","Nuclear_Area_median","Nuclear_Area_75th","Nuclear_Area_max","EdU_min","EdU_25th","EdU_median","EdU_75th","EdU_max","SABGal_min","SABGal_25th","SABGal_median","SABGal_75th","SABGal_max","EdU_threshold","SABGal_threshold","counts_EdU_positive","counts_SABGal_positive","counts_EdU_negative_SABGal_negative","counts_EdU_negative_SABGal_positive","counts_EdU_positive_SABGal_negative","counts_EdU_positive_SABGal_positive","percentage_EdU_positive","percentage_SABGal_positive","percentage_EdU_negative_SABGal_negative","percentage_EdU_negative_SABGal_positive","percentage_EdU_positive_SABGal_negative","percentage_EdU_positive_SABGal_positive","Nuclear_Area_median_fold_change","EdU_median_fold_change","SABGal_median_fold_change"
"IR_sum_2023-0317.xlsx","A01","IR_background","FS",120,"180.00","493.50","624.00"," 985.50","3283.00","21459.00"," 52356.25","  76015.50"," 107250.00","5.6e+05","0.00000","  2.37"," 10.65"," 19.31"," 413.47","270395.00","41.27",6,10,109,5,1,5," 5.00"," 8.33","90.83"," 4.17"," 0.83"," 4.17","1.55"," 0.90"," 1.821"
"IR_sum_2023-0317.xlsx","A02","IR_background","FS",138,"276.00","565.25","729.00","1093.00","2762.00","19936.00"," 50677.50","  69564.00","  94677.00","6.8e+05","0.00000","  3.28","  9.08"," 17.20"," 188.11","270395.00","41.27",5,6,130,3,2,3," 3.62"," 4.35","94.20"," 2.17"," 1.45"," 2.17","1.81"," 0.82"," 1.552"
"IR_sum_2023-0317.xlsx","A03","IR","FS",145,"167.00","516.00","697.00","1137.00","2529.00","25384.00"," 82400.00"," 108200.00"," 163300.00","1.3e+07","0.00013"," 26.03"," 80.61","168.00"," 472.01","270395.00","41.27",14,98,42,89,5,9," 9.66","67.59","28.97","61.38"," 3.45"," 6.21","1.73"," 1.28","13.780"
"IR_sum_2023-0317.xlsx","A04","IR","FS",119,"317.00","456.00","656.00"," 951.00","2585.00","50721.00"," 90922.50"," 126300.00"," 166500.00","3.8e+06","0.02474"," 34.96"," 87.47","144.44"," 501.62","270395.00","41.27",7,83,35,77,1,6," 5.88","69.75","29.41","64.71"," 0.84"," 5.04","1.63"," 1.49","14.953"
"IR_sum_2023-0317.xlsx","A05","IR","FS",133,"315.00","567.00","711.00"," 988.00","2679.00","33882.00"," 83504.00"," 111700.00"," 157000.00","4.7e+06","0.00000"," 28.41"," 72.65","159.32"," 527.27","270395.00","41.27",10,94,36,87,3,7," 7.52","70.68","27.07","65.41"," 2.26"," 5.26","1.77"," 1.32","12.420"
"IR_sum_2023-0317.xlsx","A06","CTL","FS",738,"171.00","358.25","409.50"," 486.00","1722.00","    0.00"," 31064.00","1916000.00","2819750.00","1.1e+07","0.00000","  0.00","  0.57","  5.50"," 977.05"," 81826.90","17.30",536,59,185,17,494,42,"72.63"," 7.99","25.07"," 2.30","66.94"," 5.69","1.02","22.59"," 0.097"
"IR_sum_2023-0317.xlsx","A07","CTL","FS",851,"100.00","353.00","402.00"," 474.00","2183.00","    0.00"," 22743.50","2241000.00","3032500.00","1.3e+07","0.00000","  1.48","  5.16"," 10.71"," 988.00"," 81826.90","17.30",602,104,193,56,554,48,"70.74","12.22","22.68"," 6.58","65.10"," 5.64","1.00","26.43"," 0.882"
"IR_sum_2023-0317.xlsx","A08","CTL","FS",816,"167.00","360.00","402.00"," 468.00","1470.00","    0.00"," 23662.00","2031500.00","2769750.00","1.4e+07","0.00000","  1.05","  4.89"," 10.77","1074.60"," 81826.90","17.30",576,90,200,40,526,50,"70.59","11.03","24.51"," 4.90","64.46"," 6.13","1.00","23.96"," 0.835"
"IR_sum_2023-0317.xlsx","A09","CTL_background","FS",995,"167.00","341.00","377.00"," 436.50","1727.00"," 6617.60"," 20061.00","  24160.00","  31079.00","1.1e+05","0.00000","  1.25","  4.09","  8.07"," 100.55"," 81826.90","17.30",7,36,954,34,5,2," 0.70"," 3.62","95.88"," 3.42"," 0.50"," 0.20","0.94"," 0.28"," 0.699"
"IR_sum_2023-0317.xlsx","A10","CTL_background","FS",892,"167.00","340.00","379.00"," 438.00","1573.00"," 7263.70"," 21882.75","  25939.50","  32647.50","1.4e+05","0.00000","  1.45","  4.29","  8.20","  74.15"," 81826.90","17.30",14,47,837,41,8,6," 1.57"," 5.27","93.83"," 4.60"," 0.90"," 0.67","0.94"," 0.31"," 0.734"
"IR_sum_2023-0317.xlsx","B01","IR_background","FS",176,"232.00","508.00","644.50"," 984.00","3032.00","32640.00"," 82774.50"," 104550.00"," 134100.00","4.0e+05","0.00000","  2.66","  9.85"," 17.28"," 100.14","270395.00","41.27",4,5,168,4,3,1," 2.27"," 2.84","95.45"," 2.27"," 1.70"," 0.57","1.60"," 1.23"," 1.683"
"IR_sum_2023-0317.xlsx","B02","IR_background","FS",163,"231.00","463.00","611.00"," 967.00","2296.00","29851.00"," 69190.00","  97709.00"," 141800.00","3.9e+05","0.00000","  4.68"," 10.70"," 20.12","  71.39","270395.00","41.27",2,9,153,8,1,1," 1.23"," 5.52","93.87"," 4.91"," 0.61"," 0.61","1.52"," 1.15"," 1.829"
"IR_sum_2023-0317.xlsx","B03","IR","FS",129,"227.00","500.00","651.00"," 987.00","4167.00","28088.00"," 60400.00","  82232.00"," 119000.00","1.6e+07","0.00000"," 63.77","194.63","352.99"," 761.90","270395.00","41.27",5,105,22,102,2,3," 3.88","81.40","17.05","79.07"," 1.55"," 2.33","1.62"," 0.97","33.271"
"IR_sum_2023-0317.xlsx","B04","IR","FS",110,"195.00","496.25","639.50","1080.25","2014.00","15713.00"," 62024.75","  90416.00"," 120275.00","6.2e+06","0.00000"," 75.12","196.82","345.21","1149.30","270395.00","41.27",10,91,16,84,3,7," 9.09","82.73","14.55","76.36"," 2.73"," 6.36","1.59"," 1.07","33.646"
"IR_sum_2023-0317.xlsx","B05","IR","FS",129,"192.00","513.00","626.00"," 832.00","2729.00"," 3449.00"," 56229.00","  78773.00"," 109000.00","9.0e+06","0.00000"," 82.35","192.24","309.64"," 816.85","270395.00","41.27",6,109,18,105,2,4," 4.65","84.50","13.95","81.40"," 1.55"," 3.10","1.56"," 0.93","32.863"
"IR_sum_2023-0317.xlsx","B06","CTL","FS",623,"167.00","350.00","391.00"," 477.00","1427.00","    0.00"," 31133.50","3089000.00","4576500.00","1.6e+07","0.00000","  2.75","  7.61"," 14.11"," 682.15"," 81826.90","17.30",440,111,138,45,374,66,"70.63","17.82","22.15"," 7.22","60.03","10.59","0.97","36.43"," 1.300"
"IR_sum_2023-0317.xlsx","B07","CTL","FS",752,"167.00","355.75","405.00"," 488.00","1753.00","    0.00"," 29295.25","2708000.00","3890000.00","1.5e+07","0.00000","  2.36","  6.56"," 13.37"," 135.35"," 81826.90","17.30",545,135,140,67,477,68,"72.47","17.95","18.62"," 8.91","63.43"," 9.04","1.01","31.93"," 1.121"
"IR_sum_2023-0317.xlsx","B08","CTL","FS",903,"167.00","348.00","386.00"," 452.00","1974.00","    0.00"," 50133.00","2583000.00","3445000.00","1.5e+07","0.00000","  0.90","  4.99"," 11.80"," 598.71"," 81826.90","17.30",674,140,159,70,604,70,"74.64","15.50","17.61"," 7.75","66.89"," 7.75","0.96","30.46"," 0.853"
"IR_sum_2023-0317.xlsx","B09","CTL_background","FS",967,"167.00","339.00","377.00"," 439.50","1852.00"," 9106.10"," 26153.00","  32330.00","  41077.50","2.3e+05","0.00000","  1.41","  4.34","  8.28","  65.42"," 81826.90","17.30",43,59,872,52,36,7," 4.45"," 6.10","90.18"," 5.38"," 3.72"," 0.72","0.94"," 0.38"," 0.741"
"IR_sum_2023-0317.xlsx","B10","CTL_background","FS",744,"167.00","347.00","392.00"," 456.00","1672.00","11059.00"," 29859.50","  36597.00","  49534.00","1.5e+05","0.00000","  1.31","  3.78","  7.68","  40.77"," 81826.90","17.30",48,25,678,18,41,7," 6.45"," 3.36","91.13"," 2.42"," 5.51"," 0.94","0.98"," 0.43"," 0.646"
"IR_sum_2023-0317.xlsx","C01","IR_background","FS",131,"315.00","483.50","621.00","1007.50","2479.00","55584.00","117250.00"," 152400.00"," 198300.00","4.8e+05","0.00000","  3.51","  8.88"," 18.79"," 171.82","270395.00","41.27",10,5,119,2,7,3," 7.63"," 3.82","90.84"," 1.53"," 5.34"," 2.29","1.54"," 1.80"," 1.519"
