"plate","well","cell_ID","Condition","Serum","Nuclear_Area","DAPI","EdU","SABGal"
"IR_sum_2023-0317.xlsx","A01","OBJ1","IR_background","FS",233,1066000,27991,2.5085
"IR_sum_2023-0317.xlsx","A01","OBJ2","IR_background","FS",890,12490000,79046,13.775
"IR_sum_2023-0317.xlsx","A01","OBJ3","IR_background","FS",407,5073000,104100,7.1313
"IR_sum_2023-0317.xlsx","A01","OBJ4","IR_background","FS",556,18760000,94986,1.044
"IR_sum_2023-0317.xlsx","A01","OBJ5","IR_background","FS",1442,18560000,120100,17.442
"IR_sum_2023-0317.xlsx","A01","OBJ6","IR_background","FS",369,7719000,58663,10.774
"IR_sum_2023-0317.xlsx","A01","OBJ7","IR_background","FS",404,10870000,135900,23.441
"IR_sum_2023-0317.xlsx","A01","OBJ8","IR_background","FS",476,13690000,55049,413.47
"IR_sum_2023-0317.xlsx","A01","OBJ9","IR_background","FS",1389,16130000,127200,0
"IR_sum_2023-0317.xlsx","A01","OBJ10","IR_background","FS",315,10420000,100700,105.56
"IR_sum_2023-0317.xlsx","A01","OBJ11","IR_background","FS",443,6500000,47055,3.6313
"IR_sum_2023-0317.xlsx","A01","OBJ12","IR_background","FS",377,8313000,86241,2.2654
"IR_sum_2023-0317.xlsx","A01","OBJ13","IR_background","FS",408,1352000,229300,1.3693
"IR_sum_2023-0317.xlsx","A01","OBJ14","IR_background","FS",1573,14620000,95473,0.05513
"IR_sum_2023-0317.xlsx","A01","OBJ15","IR_background","FS",803,16310000,73756,0.02933
"IR_sum_2023-0317.xlsx","A01","OBJ16","IR_background","FS",1397,17280000,106800,4.3464
"IR_sum_2023-0317.xlsx","A01","OBJ17","IR_background","FS",485,7531000,44424,0.8141
"IR_sum_2023-0317.xlsx","A01","OBJ18","IR_background","FS",563,15440000,87402,0.8547
"IR_sum_2023-0317.xlsx","A01","OBJ19","IR_background","FS",594,9368000,55767,0
"IR_sum_2023-0317.xlsx","A01","OBJ20","IR_background","FS",601,8736000,55377,7.7791
"IR_sum_2023-0317.xlsx","A01","OBJ21","IR_background","FS",544,7629000,44122,0.8108
"IR_sum_2023-0317.xlsx","A01","OBJ22","IR_background","FS",640,9050000,53054,0.07855
"IR_sum_2023-0317.xlsx","A01","OBJ23","IR_background","FS",421,8376000,46594,1.3661
"IR_sum_2023-0317.xlsx","A01","OBJ24","IR_background","FS",415,15880000,59575,15.755
"IR_sum_2023-0317.xlsx","A01","OBJ25","IR_background","FS",343,9912000,111100,13.392
"IR_sum_2023-0317.xlsx","A01","OBJ26","IR_background","FS",1407,27200000,127000,1.3564
"IR_sum_2023-0317.xlsx","A01","OBJ27","IR_background","FS",555,4460000,563000,100.11
"IR_sum_2023-0317.xlsx","A01","OBJ28","IR_background","FS",545,9869000,65539,7.2974
"IR_sum_2023-0317.xlsx","A01","OBJ29","IR_background","FS",644,11710000,75274,23.925
"IR_sum_2023-0317.xlsx","A01","OBJ30","IR_background","FS",868,3572000,455500,58.359
"IR_sum_2023-0317.xlsx","A01","OBJ31","IR_background","FS",699,10740000,61313,15.06
"IR_sum_2023-0317.xlsx","A01","OBJ32","IR_background","FS",1076,17150000,69287,1.4988
"IR_sum_2023-0317.xlsx","A01","OBJ33","IR_background","FS",1575,27830000,151500,7.3904
"IR_sum_2023-0317.xlsx","A01","OBJ34","IR_background","FS",608,8763000,49417,2.3764
"IR_sum_2023-0317.xlsx","A01","OBJ35","IR_background","FS",535,9692000,55850,5.5988
"IR_sum_2023-0317.xlsx","A01","OBJ36","IR_background","FS",570,8899000,81946,32.915
"IR_sum_2023-0317.xlsx","A01","OBJ37","IR_background","FS",527,7498000,29021,3.1491
"IR_sum_2023-0317.xlsx","A01","OBJ38","IR_background","FS",584,10310000,52615,1.3959
"IR_sum_2023-0317.xlsx","A01","OBJ39","IR_background","FS",411,7128000,28018,17.884
"IR_sum_2023-0317.xlsx","A01","OBJ40","IR_background","FS",460,17220000,108600,36.006
"IR_sum_2023-0317.xlsx","A01","OBJ41","IR_background","FS",618,5183000,160700,123.95
"IR_sum_2023-0317.xlsx","A01","OBJ42","IR_background","FS",920,12680000,76757,11.045
"IR_sum_2023-0317.xlsx","A01","OBJ43","IR_background","FS",567,7589000,33811,0.03754
"IR_sum_2023-0317.xlsx","A01","OBJ44","IR_background","FS",602,10240000,48743,4.428
"IR_sum_2023-0317.xlsx","A01","OBJ45","IR_background","FS",756,11670000,65839,2.9035
"IR_sum_2023-0317.xlsx","A01","OBJ46","IR_background","FS",985,18080000,83304,21.355
"IR_sum_2023-0317.xlsx","A01","OBJ47","IR_background","FS",1154,20370000,360600,48.632
"IR_sum_2023-0317.xlsx","A01","OBJ48","IR_background","FS",515,7556000,43224,10.164
"IR_sum_2023-0317.xlsx","A01","OBJ49","IR_background","FS",603,9181000,51036,0
"IR_sum_2023-0317.xlsx","A01","OBJ50","IR_background","FS",1234,22790000,103900,21.691
"IR_sum_2023-0317.xlsx","A01","OBJ51","IR_background","FS",494,2716000,340300,60.556
"IR_sum_2023-0317.xlsx","A01","OBJ52","IR_background","FS",760,7101000,49864,2.8983
"IR_sum_2023-0317.xlsx","A01","OBJ53","IR_background","FS",1408,19110000,119400,1.2555
"IR_sum_2023-0317.xlsx","A01","OBJ54","IR_background","FS",1220,21650000,84349,13.673
"IR_sum_2023-0317.xlsx","A01","OBJ55","IR_background","FS",462,6603000,38074,0.1944
"IR_sum_2023-0317.xlsx","A01","OBJ56","IR_background","FS",1779,16350000,134400,11.558
"IR_sum_2023-0317.xlsx","A01","OBJ57","IR_background","FS",678,11960000,71214,14.691
"IR_sum_2023-0317.xlsx","A01","OBJ58","IR_background","FS",1084,11410000,87456,0.3396
"IR_sum_2023-0317.xlsx","A01","OBJ59","IR_background","FS",571,11840000,97093,7.806
"IR_sum_2023-0317.xlsx","A01","OBJ60","IR_background","FS",810,28200000,44531,5.8227
"IR_sum_2023-0317.xlsx","A01","OBJ61","IR_background","FS",999,11810000,49418,7.951
"IR_sum_2023-0317.xlsx","A01","OBJ62","IR_background","FS",1384,23120000,117300,20.299
"IR_sum_2023-0317.xlsx","A01","OBJ63","IR_background","FS",890,12990000,89898,24.772
"IR_sum_2023-0317.xlsx","A01","OBJ64","IR_background","FS",1298,24460000,174800,23.838
"IR_sum_2023-0317.xlsx","A01","OBJ65","IR_background","FS",180,1328000,21459,0.5711
"IR_sum_2023-0317.xlsx","A01","OBJ66","IR_background","FS",1510,24860000,108900,30.782
"IR_sum_2023-0317.xlsx","A01","OBJ67","IR_background","FS",412,9276000,54115,13.439
"IR_sum_2023-0317.xlsx","A01","OBJ68","IR_background","FS",821,13540000,73973,13.068
"IR_sum_2023-0317.xlsx","A01","OBJ69","IR_background","FS",1155,20550000,108800,31.435
"IR_sum_2023-0317.xlsx","A01","OBJ70","IR_background","FS",414,9723000,89217,40.437
"IR_sum_2023-0317.xlsx","A01","OBJ71","IR_background","FS",459,1841000,327000,37.993
"IR_sum_2023-0317.xlsx","A01","OBJ72","IR_background","FS",3283,32620000,206100,18.984
"IR_sum_2023-0317.xlsx","A01","OBJ73","IR_background","FS",503,10730000,63730,7.777
"IR_sum_2023-0317.xlsx","A01","OBJ74","IR_background","FS",1426,14760000,86676,0.6565
"IR_sum_2023-0317.xlsx","A01","OBJ75","IR_background","FS",1424,13260000,88362,10.982
