Condition,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,SEN_background,SEN,SEN,SEN,SEN,CTL,CTL,CTL,CTL,CTL_background,
C,,SEN_background,SEN,SEN,SEN,SEN,CTL,CTL,CTL,CTL,CTL_background,
D,,SEN_background,SEN,SEN,SEN,SEN,CTL,CTL,CTL,CTL,CTL_background,
E,,SEN_background,SEN,SEN,SEN,SEN,CTL,CTL,CTL,CTL,CTL_background,
F,,SEN_background,SEN,SEN,SEN,SEN,CTL,CTL,CTL,CTL,CTL_background,
G,,SEN_background,SEN,SEN,SEN,SEN,CTL,CTL,CTL,CTL,CTL_background,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Variable2,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Variable3,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
ML_Training,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
